Country,Arrivals_2024,Arrivals_2023,Receipts_2024_RMmil,Receipts_2023_RMmil,PerCapitaSpend_2024_RM,PerCapitaSpend_2023_RM
Singapore,18855680.0,14828553.0,27941.65,21575.31,1481.8691237865726,1454.9841781595278
Indonesia,4145127.0,3479392.0,15323.27,11875.06,3696.6949384180507,3412.969852204063
China,3725894.0,1613312.0,20866.57,8881.23,5600.41965767142,5504.967421056807
Thailand,2268182.0,2300158.0,3993.81,3238.5,1760.7978548458634,1407.9467584400725
Brunei,1732119.0,1116211.0,3235.1,2099.56,1867.7123223058,1880.9705333489815
India,1365387.0,773221.0,6112.06,3408.61,4476.430491867874,4408.325692137177
Philippines,571533.0,461787.0,1804.38,1370.96,3157.088042160295,2968.8146266568788
South Korea,553165.0,465617.0,2901.45,2302.97,5245.180009581228,4946.0608182261385
Australia,447785.0,400909.0,2488.2,2114.36,5556.684569603716,5273.915028098647
Chinese Taipei,423117.0,311437.0,2334.84,1624.42,5518.1900041832405,5215.886359038906
United Kingdom,390035.0,306926.0,2450.48,1880.29,6282.718217595857,6126.199800603403
Japan,367182.0,277559.0,1934.97,1382.73,5269.784466558818,4981.751627581883
Vietnam,366525.0,374181.0,1306.55,1299.92,3564.6954505149715,3474.0406380869154
United States,304880.0,257533.0,1656.75,1308.79,5434.105221726581,5082.028322583902
France,183872.0,132311.0,924.86,623.52,5029.912112774104,4712.533349456961
Germany,170712.0,137977.0,887.54,703.01,5199.048690191667,5095.124549743798
Bangladesh,154596.0,153093.0,,,,
Myanmar,147133.0,102587.0,,,,
Russia,130998.0,129514.0,628.69,594.55,4799.233576085131,4590.623407508068
Pakistan,106388.0,111245.0,547.04,543.13,5141.933300748205,4882.286844352555
Canada,,,525.27,409.72,,
Netherlands,,,494.52,390.44,,
